status_id,status_created_at,annotation1,annotation2
1237387231779840000,Tue Mar 10 14:38:00 +0000 2020,irrelevant,
1240175235304960000,Wed Mar 18 07:16:32 +0000 2020,irrelevant,
1241324844920320000,Sat Mar 21 11:24:40 +0000 2020,irrelevant,
1241872361743360000,Sun Mar 22 23:40:18 +0000 2020,irrelevant,
1243024442621440000,Thu Mar 26 03:58:16 +0000 2020,irrelevant,
1243315917913600000,Thu Mar 26 23:16:29 +0000 2020,irrelevant,
1273803569758720000,Fri Jun 19 02:23:31 +0000 2020,politics,
1275384241681920000,Tue Jun 23 11:04:33 +0000 2020,true public health response,
1215113270710935553,Thu Jan 09 03:29:14 +0000 2020,true public health response,
1216676765982175232,Mon Jan 13 11:02:00 +0000 2020,news,
1217159574433804289,Tue Jan 14 19:00:30 +0000 2020,news,
1222615296344608768,Wed Jan 29 20:19:36 +0000 2020,calling out or correction,
1222984685120368646,Thu Jan 30 20:47:25 +0000 2020,sarcasm or satire,
1224147257517199360,Mon Feb 03 01:47:04 +0000 2020,true public health response,
1224970162459172865,Wed Feb 05 08:17:00 +0000 2020,calling out or correction,
1225053872370176000,Wed Feb 05 13:49:38 +0000 2020,calling out or correction,
1225549173157695491,Thu Feb 06 22:37:47 +0000 2020,calling out or correction,
1225835616656658433,Fri Feb 07 17:36:00 +0000 2020,calling out or correction,
1226276322021978117,Sat Feb 08 22:47:12 +0000 2020,fake cure,
1227310448401317891,Tue Feb 11 19:16:27 +0000 2020,calling out or correction,
1227362900970479617,Tue Feb 11 22:44:53 +0000 2020,conspiracy,
1228090968114651138,Thu Feb 13 22:57:58 +0000 2020,conspiracy,
1228608922426249216,Sat Feb 15 09:16:08 +0000 2020,conspiracy,
1232059565065297920,Mon Feb 24 21:47:45 +0000 2020,true public health response,
1232394717641334785,Tue Feb 25 19:59:32 +0000 2020,conspiracy,
1232502381016907776,Wed Feb 26 03:07:21 +0000 2020,conspiracy,
1232553364438814720,Wed Feb 26 06:29:56 +0000 2020,calling out or correction,
1232791958281576448,Wed Feb 26 22:18:01 +0000 2020,true public health response,
1232965700454666241,Thu Feb 27 09:48:25 +0000 2020,calling out or correction,
1233219957208444928,Fri Feb 28 02:38:44 +0000 2020,calling out or correction,
1233467656860315649,Fri Feb 28 19:03:00 +0000 2020,calling out or correction,
1233566321876578305,Sat Feb 29 01:35:04 +0000 2020,politics,
1233599892217585665,Sat Feb 29 03:48:28 +0000 2020,politics,
1233642854884552705,Sat Feb 29 06:39:11 +0000 2020,politics,
1233669385514094592,Sat Feb 29 08:24:36 +0000 2020,calling out or correction,
1233823268924096512,Sat Feb 29 18:36:05 +0000 2020,politics,
