tweetOG,tweetBR,class
Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,Postagens do Facebook compartilhadas em pelo menos três países à medida que os cientistas trabalham para desenvolver uma reivindicação de vacina Covid-19 para oferecer uma maneira legal de recusar a vacinação.,0
Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.,Wisconsin está vendo um declínio no Covid Infectionó.,0
Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,Postagens do Facebook Reivindicam uma criança que está infectada com o romance coronavírus será levada a um hospital desacompanhado.,0
IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,Índia Ministério dos Assuntos Internos que proíbem os cidadãos de postar sobre o novo coronavírus nas mídias sociais.,0
"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package.","42 Senadores democráticos, mais dois independentes, votados contra o envio de pagamentos diretos para os americanos como parte do pacote de estímulo econômico de coronavírus.",0
The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,A foto de uma vacina para coronavírus canina prova que existe uma vacina para o romance coronavírus que causa a Covid-19.,0
A picture of a reporter in protective medical gear is an example of how the American media ÒhypesÓ the COVID-19 pandemic.,Uma imagem de um repórter no equipamento médico protetor é um exemplo de como a mídia americana òhypesó a pandemia Covid-19.,0
"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÕt from after the government reopened the beach as news reports have claimed.","Uma foto tirada por um jornalista mostrando uma praia em Jacksonville, Flórida, Isnõt de depois do governo reaberto a praia como reportagens reivindicaram.",0
News photo from stay-at-home protest was doctored to add Confederate flag.,Foto de notícias do protesto de estadia em casa foi feito para adicionar bandeira confederada.,0
"Says a photo shows the ÒSAME EXACT PEOPLEÓ at Òtwo different beachesÓ in Los Angeles County and Jacksonville, Florida.","Diz uma foto mostra a òSame pessoas exatas em òTwo Diferentes Beachesó em Condado de Los Angeles e Jacksonville, Flórida.",0
ÒMy wife is suffering from coronavirus and she is pregnant. The doctor said she wonÕt survive it.Ó,Òmy esposa está sofrendo de coronavírus e ela está grávida. O médico disse que ela wonõt sobrevive.,0
A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,Um anúncio de ataque democrático disse que Trump enviou 17 toneladas de suprimentos médicos para a China.,0
The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,O vírus Covid-19 não pode se espalhar em áreas pulverizadas com vapor de óleo de eucalipto.,0
Goodwill Industries International has fired all its employees because of the coronavirus pandemic.,A Goodwill Industries International disparou todos os seus funcionários por causa da pandemia do coronavírus.,0
Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases,Diz que a eleição em pessoa de Wisconsinõ tem causado a um òsurgeó em novos casos de coronavírus,0
Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,O Nobel Laureate Luc Montagnier alegou que o genoma do coronavírus continha sequências do HIV (o vírus que causa a AIDS).,0
TrumpÕs claim that ObamaÕs handling of the 2009 swine flu pandemic was a disaster.,Trumpões afirmam que o manejo de Obamaõs da pandemia de gripe suína de 2009 foi um desastre.,0
"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.""","""Casa de Representantes Orador Nancy Pelosi postou e excluiu um vídeo em sua conta no Twitter, na qual ela chama as pessoas a visitar Chinatown em São Francisco.""",0
